Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2023-12-20,Laptop,Electronics,East,8,456.28,108.1
2022-03-19,Tablet,Electronics,West,6,3450.13,705.74
2024-07-07,Smartphone,Electronics,South,16,14913.64,3404.96
2023-04-30,Smartphone,Electronics,West,12,9457.1,1411.7
2024-03-22,Smartwatch,Electronics,North,7,945.34,124.62
2022-03-08,Laptop,Electronics,North,4,296.96,65.05
2023-09-15,Smartphone,Electronics,West,4,640.67,149.89
2023-03-01,Tablet,Electronics,North,1,797.67,65.27
2023-10-24,Monitor,Accessories,North,4,1456.47,431.89
2024-04-22,Monitor,Accessories,South,6,4038.58,364.11
2023-06-27,Tablet,Electronics,West,7,5656.89,355.81
2023-04-13,Mouse,Accessories,West,4,3876.4,302.37
2023-05-19,Keyboard,Accessories,South,3,501.44,57.35
2024-11-15,Headphones,Accessories,East,9,2187.16,413.76
2023-12-25,Mouse,Accessories,North,6,7146.65,1627.42
2022-03-31,Keyboard,Accessories,South,0,94.64,7.44
2024-04-24,Monitor,Accessories,East,5,940.96,266.02
2022-01-10,Headphones,Accessories,North,1,951.42,127.58
2022-11-17,Printer,Office,East,2,124.59,27.42
2024-06-29,Mouse,Accessories,West,9,7506.65,594.28
2022-11-14,Monitor,Accessories,West,7,8176.47,2308.76
2023-08-11,Smartphone,Electronics,East,10,4250.56,1265.36
2022-03-19,Headphones,Accessories,South,5,270.74,29.41
2022-10-23,Keyboard,Accessories,West,9,10035.57,1486.3
2022-07-17,Smartphone,Electronics,South,10,1530.86,315.28
2024-11-04,Headphones,Accessories,East,7,4221.85,358.02
2023-02-24,Laptop,Electronics,North,4,2108.67,576.48
2024-08-08,Monitor,Accessories,North,9,10530.23,2387.63
2024-05-14,Keyboard,Accessories,South,3,1698.275,457.085
2022-01-15,Monitor,Accessories,North,4,1060.82,213.05
2022-05-10,Tablet,Electronics,East,5,480.72,73.07
2022-03-10,Headphones,Accessories,West,3,2529.23,285.65
2022-01-23,Smartwatch,Electronics,East,8,4792.84,511.97
2024-09-19,Smartwatch,Electronics,East,8,8056.78,605.8
2024-06-06,Tablet,Electronics,North,4,4228.18,947.76
2024-10-10,Tablet,Electronics,East,1,653.12,93.78
2024-03-24,Tablet,Electronics,North,9,7452.68,1212.51
2023-07-21,Mouse,Accessories,East,2,2064.335,578.355
2022-07-21,Tablet,Electronics,West,5,5090.11,1201.56
2022-09-01,Camera,Electronics,North,5,4930.99,387.33
2023-04-20,Smartwatch,Electronics,South,6,2610.68,434.37
2023-12-11,Laptop,Electronics,North,6,4278.92,831.68
2024-09-29,Tablet,Electronics,South,1,226.72,55.4
2023-11-20,Smartwatch,Electronics,West,2,2244.36,212.08
2023-07-15,Monitor,Null,East,6,3150.07,578.87
2023-12-24,Laptop,Electronics,South,7,3388.07,347.19
2023-08-13,Laptop,Electronics,East,16,17473.98,1160.62
2022-04-24,Smartphone,Electronics,South,4,2204.72,353.06
2024-07-13,Monitor,Accessories,East,3,2640.16,199.97
2022-06-11,Printer,Office,West,3,2547.14,300.74
2024-10-28,Laptop,Electronics,North,7,728.93,64.82
2022-11-24,Camera,Electronics,South,7,3444.7,607.44
2024-10-03,Camera,Electronics,West,5,3140.17,853.66
2024-03-24,Smartphone,na,East,6,870.24,258.54
2024-06-28,Keyboard,Accessories,East,2,428.425,36.495
2022-05-31,Printer,Office,North,2,112.98,23.33
2023-01-31,Keyboard,Accessories,West,1,756.05,149.365
2024-06-23,Mouse,,South,5,4915.37,1196.6
2023-08-16,Mouse,Accessories,South,1,1354.55,331.77
2023-06-10,Tablet,Electronics,North,7,1239.67,118.36
2023-05-09,Tablet,Electronics,West,2,572.55,86.16
2022-05-08,Smartwatch,Electronics,North,2,1708.81,93.25
2024-11-06,Smartwatch,Electronics,North,4,360.22,42.66
2022-12-08,Camera,Electronics,North,6,3822.14,388.34
2022-09-25,Camera,Electronics,North,6,4680.73,932.97
2024-07-10,Camera,Electronics,North,5,2520.39,487.18
2024-03-29,Smartwatch,Electronics,North,2,2138.55,619.29
2022-01-11,Keyboard,Accessories,West,3,2529.83,169.6
2022-04-08,Keyboard,Accessories,East,1,236.37,29.33
2024-01-21,Tablet,Electronics,West,6,2730.79,636.48
2023-04-27,Headphones,Accessories,North,3,3021.59,872.49
2024-11-06,Smartwatch,Electronics,North,2,244.84,16.78
2022-05-11,Camera,Electronics,South,8,728.01,120.06
2022-10-02,Mouse,Accessories,North,3,453.46,89.49
2022-01-12,Laptop,Electronics,South,1,379.37,84.38
2023-01-09,Tablet,Electronics,West,3,2130.74,510.69
2023-05-04,Monitor,Accessories,North,8,4120.96,710.11
2024-09-07,Smartwatch,Electronics,South,7,3150.71,299.7
2022-05-17,Smartwatch,Electronics,East,7,2688.25,603.07
2023-08-17,Tablet,Electronics,East,2,1752.24,501.19
2023-09-07,Keyboard,Accessories,North,7,7308.87,948.4
2022-05-11,Tablet,Electronics,North,3,2007.63,160.84
2023-05-12,Tablet,Electronics,West,7,7224.68,479.23
2023-05-08,Monitor,Accessories,South,9,6939.28,1249.31
2023-02-18,Smartphone,Electronics,East,14,11033.58,2951.34
2023-01-12,Laptop,Electronics,South,10,7971.18,1648.8
2022-01-03,Camera,Electronics,North,7,2723.16,638.26
2022-10-20,Tablet,Electronics,North,2,746.86,170.75
2024-08-21,Laptop,Electronics,West,5,3170.77,245.25
2023-12-11,Smartwatch,Electronics,East,5,550.82,63.11
2022-08-14,Tablet,Electronics,North,8,480.54,132.45
2024-06-03,Printer,Office,East,4,3284.74,354.4
2024-01-23,Smartwatch,Electronics,South,2,1748.1,183.75
2023-11-20,Headphones,Accessories,North,8,824.49,240.84
2022-03-03,Headphones,Accessories,North,4,1872.67,448.46
2024-02-20,Tablet,Electronics,West,3,627.97,103.98
2024-08-09,Camera,Electronics,East,9,5661.0,1104.02
2022-06-19,Camera,Electronics,North,3,2910.0,765.47
2024-09-01,Tablet,Electronics,South,9,9036.23,1087.46
2024-08-30,Tablet,Electronics,West,5,4815.13,338.31
2022-08-12,Mouse,Accessories,South,0,593.51,103.14
2024-02-20,Tablet,Electronics,East,1,620.62,165.43
2023-02-26,Camera,Electronics,West,5,2025.62,414.42
,Smartwatch,Electronics,North,5,655.49,166.69
2023-04-12,Smartphone,Electronics,South,8,3312.38,811.31
2024-01-01,Mouse,Accessories,West,3,2895.01,642.605
2023-12-06,Laptop,Electronics,South,12,5401.56,1055.94
2023-12-05,Smartwatch,Electronics,East,8,2072.57,555.06
2024-10-27,Keyboard,Accessories,North,1,1495.675,358.27
2024-08-04,Laptop,Electronics,East,12,11136.86,1917.18
2023-02-01,Smartwatch,Electronics,North,7,5509.82,1648.74
2024-04-28,Smartphone,Electronics,South,4,4380.55,362.81
2022-03-25,Tablet,Electronics,South,5,1760.49,272.68
2024-10-05,Headphones,Accessories,North,9,5571.53,1523.81
2024-12-19,Tablet,Electronics,South,2,1082.82,182.1
2022-07-18,Camera,Electronics,East,1,569.08,138.11
2023-06-11,Mouse,Accessories,North,8,3416.36,697.42
2023-08-07,Monitor,Accessories,East,6,3300.88,386.92
2022-12-04,Laptop,Electronics,South,16,5169.88,1137.54
2024-02-18,Monitor,Accessories,South,9,7650.26,2204.44
2023-12-15,Monitor,Accessories,West,6,846.95,190.87
2023-08-12,Smartphone,Electronics,West,2,103.08,18.72
2024-05-20,Smartwatch,Electronics,South,6,7056.63,586.91
2024-06-05,Smartwatch,Electronics,West,2,384.27,38.41
2022-01-09,Laptop,Electronics,South,8,2928.93,663.54
2023-12-17,Camera,Electronics,West,7,1904.04,352.86
2022-09-08,Tablet,Electronics,East,2,2314.75,312.07
2022-01-22,Printer,Office,South,4,1028.37,192.13
2024-09-04,Headphones,Accessories,South,9,8307.45,1326.23
2024-01-20,Printer,Office,West,9,1539.22,203.54
2022-11-03,Tablet,Electronics,West,7,2506.9,537.98
2023-07-03,Smartphone,Electronics,West,12,11556.04,2465.08
2024-01-25,Tablet,Electronics,East,9,10188.49,2165.78
2024-05-11,Monitor,Accessories,North,1,952.13,157.7
2024-01-02,Smartwatch,Electronics,West,8,3624.62,750.86
2023-02-24,Keyboard,Accessories,South,4,3984.07,775.56
2024-07-20,Mouse,Accessories,South,2,1254.41,250.09
2022-04-10,Mouse,Accessories,West,1,916.85,223.5
2022-05-10,Monitor,Accessories,East,8,2240.09,313.17
2022-01-28,Monitor,Accessories,South,1,940.2,120.35
2023-04-05,Headphones,Accessories,West,5,1550.31,203.51
2023-09-22,Keyboard,Accessories,South,3,1176.36,128.2
2024-08-29,Smartwatch,Electronics,North,9,1638.07,183.75
2023-11-18,Camera,Electronics,North,6,7164.66,1442.72
2023-09-12,Mouse,Accessories,East,1,205.39,54.54
2023-05-26,Keyboard,Accessories,North,1,383.5,24.615
2023-04-30,Keyboard,Accessories,North,0,84.185,8.92
2024-11-01,Mouse,Accessories,South,0,529.23,103.775
2022-05-06,Keyboard,Accessories,South,5,1455.72,423.81
2023-05-10,Camera,Electronics,East,2,2224.21,364.04
2022-11-04,Smartphone,Electronics,West,7,1400.56,80.49
2022-05-09,Smartphone,Electronics,East,14,15134.7,4426.36
2022-11-07,Tablet,Electronics,East,6,3396.46,987.68
2023-08-11,Smartwatch,Electronics,East,2,704.08,135.63
2024-10-21,Tablet,Electronics,East,9,7767.36,2172.19
2024-10-06,Mouse,Accessories,West,2,1025.09,78.565
2023-08-08,Monitor,Accessories,North,9,10458.73,2799.48
2022-01-19,Camera,Electronics,South,4,4700.06,619.26
2024-04-30,Smartphone,Electronics,North,2,892.08,222.51
2023-12-26,Laptop,Electronics,East,8,6968.98,1479.09
2024-04-07,Laptop,Electronics,North,7,1344.2,300.88
2022-10-18,Camera,Electronics,West,1,354.08,65.99
2024-04-21,Monitor,Accessories,South,3,3051.21,662.23
2024-03-26,Camera,Electronics,South,3,402.79,106.87
2022-10-31,Monitor,Accessories,North,5,3570.97,517.82
2023-03-03,Keyboard,Accessories,North,7,3829.73,876.35
2023-02-03,Mouse,Accessories,North,3,2338.175,121.32
2023-04-15,Keyboard,Accessories,East,1,559.87,158.68
2023-05-09,Smartphone,Electronics,East,4,4228.96,764.3
2024-11-28,Keyboard,Accessories,North,4,1795.575,171.09
2022-02-05,Printer,Office,West,8,3952.55,451.08
2024-06-05,Null,na,South,6,110370.41,24644.5
2024-11-15,Monitor,Accessories,North,5,3875.37,768.74
2023-11-13,Smartwatch,Electronics,West,8,3416.51,478.9
2022-02-19,Tablet,Electronics,West,1,908.52,222.58
2024-05-06,Headphones,Accessories,South,4,4532.38,987.32
2023-09-23,Laptop,Electronics,North,3,3543.5,941.37
2024-09-14,Laptop,Electronics,East,12,10248.1,2157.14
2023-03-17,Smartwatch,Electronics,South,9,5751.48,1196.23
2023-09-29,Camera,Electronics,East,2,624.78,139.64
2023-12-01,Camera,Electronics,South,1,508.21,151.29
2022-03-14,Keyboard,Accessories,West,4,1608.485,319.89
2023-07-15,Laptop,Electronics,West,6,2844.51,581.0
2022-05-29,Smartphone,Electronics,West,10,4770.56,517.2
2023-01-16,Monitor,Accessories,South,8,928.37,170.05
2023-09-06,,,North,6,4656.65,673.35
2023-03-29,Headphones,Accessories,North,2,330.03,21.46
2023-11-01,Camera,Electronics,North,7,1799.09,274.11
2024-09-04,Camera,Electronics,West,5,5785.96,1191.11
2022-12-27,Keyboard,Accessories,North,0,81.985,11.035
2024-04-14,Smartphone,Electronics,West,18,18324.88,3251.24
2023-07-15,Monitor,Accessories,South,5,1465.55,149.62
2024-10-27,Monitor,Accessories,West,2,366.22,31.23
2024-07-19,Camera,Electronics,South,5,3135.3,277.28
2024-03-03,Keyboard,Accessories,North,2,630.36,161.04
2024-04-12,Monitor,Accessories,South,1,213.72,42.94
2024-06-20,Monitor,Accessories,North,4,3792.73,1092.85
2023-06-21,Mouse,Accessories,East,1,966.305,54.535
2023-01-25,Keyboard,Accessories,West,4,4152.23,317.28
2024-02-17,Smartphone,Electronics,North,7,3612.45,529.57
2024-09-09,Smartphone,Electronics,East,2,2258.18,280.76
2022-07-09,Camera,Electronics,South,3,594.03,47.73
2023-09-01,Headphones,,West,7,8071.42,1799.06
2024-03-30,Keyboard,Accessories,North,7,5838.48,631.45
2024-12-22,Keyboard,Accessories,North,4,692.53,181.31
2024-09-08,Keyboard,Accessories,South,1,852.285,154.53
2023-10-12,Mouse,Accessories,East,3,2373.495,272.785
2022-08-01,Smartwatch,Electronics,South,8,7600.93,788.88
2023-11-03,Smartphone,Electronics,West,5,1935.63,128.01
2023-12-04,Laptop,Electronics,North,6,3277.64,612.58
2023-06-30,Keyboard,Accessories,West,3,2373.44,408.3
2023-02-01,Smartphone,Electronics,North,8,4824.57,1187.93
2022-05-09,Camera,Electronics,South,1,1193.44,153.72
2023-12-16,Laptop,Electronics,East,4,1124.64,185.88
2022-03-20,Smartphone,Electronics,North,16,12401.34,2593.68
2024-07-28,Printer,Office,North,8,4128.25,315.48
2024-11-06,Laptop,Electronics,North,6,2743.86,209.32
2023-01-01,Keyboard,Accessories,West,5,1405.09,194.33
2023-03-18,Keyboard,Accessories,North,1,822.275,79.16
2024-09-18,Mouse,Accessories,West,6,3414.72,396.92
2024-08-19,Laptop,Electronics,East,16,6544.68,1349.14
2022-06-18,Smartphone,Electronics,North,6,5310.64,1293.82
2022-05-29,Smartwatch,Electronics,West,7,1673.6,458.32
2022-06-09,Tablet,Electronics,East,2,846.04,145.09
2023-05-03,Smartphone,Electronics,East,2,1971.74,393.28
2023-11-17,Smartwatch,Electronics,North,9,7551.7,894.4
2022-02-08,Tablet,Electronics,North,5,855.31,217.16
2023-10-23,Camera,Electronics,South,2,396.95,94.55
2022-08-24,Tablet,Electronics,West,8,2296.73,560.48
2024-05-09,Monitor,Accessories,North,6,1705.0,199.94
2023-03-12,Smartphone,Electronics,East,4,2360.9,522.32
2022-10-05,Smartphone,Electronics,East,6,823.4,111.46
2022-01-19,Mouse,Accessories,East,0,372.84,75.61
2024-05-23,Mouse,Accessories,South,3,1494.16,178.5
2024-07-11,Camera,Electronics,South,5,1755.3,358.01
2022-08-22,Camera,Electronics,South,9,4941.46,894.52
2024-11-03,Smartwatch,Electronics,North,6,6510.2,1539.18
2024-10-11,Smartphone,Electronics,South,10,10930.28,1439.84
2024-11-09,Tablet,Electronics,South,3,3522.72,285.91
2024-04-01,Tablet,Electronics,West,6,1656.0,139.86
2023-06-10,Keyboard,Accessories,East,1,1192.8,320.13
2023-05-15,Tablet,Electronics,West,5,1925.53,204.74
2022-06-08,Tablet,Electronics,West,8,1688.44,337.33
2023-06-26,Headphones,Accessories,South,1,260.02,16.81
2022-01-19,Monitor,Accessories,West,5,4880.09,1250.66
2024-04-10,Keyboard,Accessories,West,7,1134.06,179.74
2022-06-10,Laptop,Electronics,North,9,9621.31,1201.29
2023-02-03,Monitor,Accessories,South,4,2836.33,698.83
2023-05-15,Printer,Office,North,9,5859.86,1153.89
2022-09-11,Smartwatch,Electronics,South,2,2044.88,460.03
2023-07-01,Monitor,Accessories,South,1,612.84,174.52
2022-02-18,Smartwatch,Electronics,North,3,1890.76,492.31
2023-09-30,Smartwatch,Electronics,East,5,2025.16,168.82
2022-07-07,Camera,Electronics,North,6,4410.45,893.27
2024-07-14,Keyboard,Accessories,West,8,8272.7,2391.88
2022-09-27,Smartwatch,Electronics,West,6,5712.98,638.29
2024-04-20,Smartwatch,Electronics,North,6,1524.18,178.36
2024-05-24,Keyboard,Accessories,North,4,2580.04,528.705
2024-12-29,Mouse,Accessories,East,4,2956.91,451.6
2023-05-07,Smartphone,Electronics,West,8,7944.36,2257.73
2024-09-10,Camera,Electronics,North,5,1815.13,535.22
2023-03-21,Headphones,Accessories,North,3,2706.05,546.97
2023-05-05,Laptop,Electronics,North,2,1356.36,144.18
2023-06-13,Smartwatch,Electronics,South,9,4248.63,964.12
2024-05-02,Monitor,Accessories,North,6,3954.03,676.82
2024-04-21,Smartphone,Electronics,South,12,14221.3,1479.2
2023-07-25,Headphones,Accessories,South,7,8113.84,995.03
2023-01-11,Keyboard,Accessories,West,2,1866.445,335.595
2024-09-27,Mouse,Accessories,West,6,4062.14,1087.17
2024-12-03,Smartwatch,Electronics,North,1,496.44,93.31
2023-08-24,Smartwatch,Electronics,East,4,1104.68,84.31
2023-05-19,Smartphone,Electronics,West,6,4549.54,1324.0
2022-06-13,Smartwatch,Electronics,North,8,4456.38,1106.04
2022-08-26,Mouse,Accessories,West,4,2464.225,519.09
2023-01-22,Smartphone,Electronics,North,8,3481.28,449.58
2023-06-28,Mouse,Accessories,North,4,4156.35,847.09
2022-09-04,Smartphone,Electronics,West,4,3892.33,1052.72
2024-07-18,Mouse,Accessories,South,4,810.41,147.3
2022-09-22,Mouse,Accessories,West,1,1125.445,150.985
2024-07-31,Monitor,Accessories,West,2,1390.28,316.31
2023-04-21,Camera,Electronics,South,5,5155.95,1325.16
2022-07-09,Smartwatch,Electronics,North,5,1025.54,262.91
2024-07-31,Mouse,Accessories,South,3,1785.33,244.52
2022-09-30,Smartwatch,Electronics,North,9,2952.34,605.85
2023-03-30,Tablet,Electronics,North,8,1640.24,361.48
2023-10-02,Keyboard,Accessories,East,0,508.99,34.665
2023-04-05,Mouse,Accessories,North,3,2994.01,638.59
2022-05-22,Printer,Office,West,2,1874.5,271.5
2023-08-19,Mouse,Accessories,North,8,6008.19,871.76
2023-09-06,Camera,Electronics,East,8,7240.03,411.19
2024-06-17,Monitor,Accessories,South,9,1188.81,348.31
2022-10-13,Monitor,Accessories,North,5,3625.64,268.73
2024-03-31,Laptop,Electronics,East,8,6952.63,871.2
2023-05-29,Camera,Electronics,North,9,1053.37,283.58
2024-12-21,Monitor,Accessories,North,9,6696.46,1224.22
2024-10-09,Headphones,Accessories,North,2,1420.1,93.59
2023-12-29,Camera,Electronics,West,9,9972.54,2566.01
2022-11-28,Laptop,Electronics,South,8,3136.13,494.26
2023-02-10,Camera,Electronics,West,3,225.6,20.52
2022-05-12,Mouse,Accessories,East,3,1662.24,375.04
2022-08-02,Smartphone,Electronics,North,16,6336.9,1494.66
2023-12-31,Smartphone,Electronics,East,2,1245.1,209.14
2022-04-03,Tablet,Electronics,North,3,1233.12,361.12
2024-01-19,Laptop,Electronics,West,3,573.88,116.14
2022-02-18,Tablet,Electronics,South,1,702.96,129.34
2024-05-14,Laptop,Electronics,South,8,4832.37,1261.06
2024-05-05,Camera,Electronics,North,8,6928.66,1415.16
2023-02-01,Headphones,Accessories,West,7,1624.84,436.13
2023-04-01,Headphones,Accessories,North,1,68.88,10.39
2023-06-04,Mouse,Accessories,North,0,325.93,93.995
2023-02-16,Keyboard,Accessories,West,2,1068.83,85.71
2023-10-17,Keyboard,Accessories,North,1,381.4,26.69
2022-10-23,Monitor,Accessories,South,5,2180.2,400.01
2024-09-12,Laptop,Electronics,North,18,5706.84,706.18
2022-10-04,Mouse,Accessories,South,0,136.225,22.665
2022-03-14,Smartphone,Electronics,North,4,2640.36,183.23
2024-04-26,Monitor,Accessories,North,2,488.87,129.02
2023-11-10,Printer,Office,South,8,9184.66,1795.93
2024-04-12,Tablet,Electronics,North,5,280.39,23.98
2024-10-03,Keyboard,Accessories,East,1,1445.0,302.225
2024-07-18,Laptop,Electronics,West,1,625.98,125.9
2024-04-16,Keyboard,Accessories,South,8,7056.06,538.48
2023-07-11,Tablet,Electronics,West,8,3936.05,720.2
2022-09-19,Smartwatch,Electronics,East,6,2472.99,363.38
2022-06-19,Mouse,Accessories,West,2,427.725,33.785
2024-02-25,Mouse,Accessories,West,1,1740.105,280.195
2023-03-07,Camera,Electronics,South,1,846.19,103.3
2022-03-09,Keyboard,Accessories,North,1,158.36,46.24
2022-12-31,Mouse,Accessories,South,4,1593.415,291.62
2024-02-01,Mouse,Accessories,North,7,6972.25,969.43
2024-04-15,Mouse,Accessories,East,2,872.785,224.82
2024-05-15,Laptop,Electronics,East,16,8512.16,745.9
2022-04-14,Keyboard,Accessories,South,1,837.075,249.815
2024-09-25,Camera,Electronics,North,8,6488.45,1072.86
2022-03-05,Tablet,Electronics,East,5,3530.86,803.86
2022-09-03,Mouse,Accessories,North,1,316.4,43.725
2024-11-09,Monitor,Accessories,North,7,3675.48,236.8
2023-09-12,Smartwatch,Electronics,West,6,5592.71,926.42
2023-02-11,Keyboard,Accessories,East,3,3216.165,403.97
2023-08-27,Camera,Electronics,East,3,3069.03,503.3
2023-05-26,Keyboard,Accessories,North,7,2898.29,490.11
2024-05-30,Tablet,Electronics,North,4,3960.71,632.76
2024-07-31,Tablet,Electronics,South,3,1476.14,85.16
2023-11-14,Printer,Office,East,2,1058.05,298.69
2023-11-27,Monitor,Accessories,South,5,1215.4,162.02
2024-03-04,Camera,Electronics,North,3,204.99,20.43
2024-12-24,Tablet,Electronics,West,7,4137.85,221.66
2022-05-21,Camera,Electronics,West,5,250.43,16.81
2022-09-14,Tablet,Electronics,West,5,1185.39,254.34
2024-06-28,Keyboard,Accessories,West,6,6888.34,945.07
2024-12-25,Smartphone,Electronics,West,6,7177.1,1917.68
